band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15548,107,"1,7",155480107,49.39589067633392,41.46667848375113,49.525334312573435,41.36777743951977,49.527958675127294,41.56373573847244,49.26605182743479,41.565433974619594,49.26420899822302,41.369464123060304,0.67018366,0.020461505,3.724881,27.0,0.4180039945937503
HSC-G,15548,108,"1,8",155480108,49.39799726999989,41.65097223647161,49.52783334927755,41.5544047050095,49.53040969004192,41.74568327740107,49.26777293299985,41.74739226648441,49.26596382350603,41.55610239038494,0.6940957,0.019993942,-22.253025,27.0,0.43623060982089357
HSC-G,15548,203,"2,3",155480203,49.14120607141613,40.72140140657737,49.269583758722,40.622787152304646,49.27142171307025,40.81877330040656,49.01244339244664,40.819876307281966,49.01136969046614,40.62388253009131,0.72404313,0.058462504,81.92415,27.0,0.998223979555333
HSC-G,15548,204,"2,4",155480204,49.14259650648329,40.90806048480325,49.27133394475328,40.80944054399363,49.27318228973759,41.00542874373213,49.01347189215147,41.00653903453733,49.01239211966261,40.81054318713585,0.6968193,0.056859627,72.837265,27.0,0.8566996519698308
HSC-G,15548,205,"2,5",155480205,49.14399481366546,41.09471954573981,49.27309402453272,40.99609598868228,49.27495284851258,41.19208207953407,49.014506223695854,41.193199671840304,49.01342032907115,40.99720591487272,0.7040599,0.03102127,65.156784,27.0,0.7355952355921372
HSC-G,15548,206,"2,6",155480206,49.14540106000414,41.28137462697862,49.27486408218845,41.182749523965505,49.276733474527845,41.378729345669505,49.01554643682204,41.379854256934195,49.01445436784685,41.18386675078114,0.6891367,0.019047022,31.927721,27.0,0.6464914216338955
HSC-G,15548,207,"2,7",155480207,49.14681531330423,41.46802176661428,49.276644202804874,41.369397187675375,49.27852425388694,41.56536658076256,49.01659258183955,41.566498828331,49.015494285703824,41.370521732579256,0.6899469,0.014072882,7.448287,27.0,0.6037240049134135
HSC-G,15548,208,"2,8",155480208,49.14821981291039,41.65232415293681,49.27843447243667,41.55603501838563,49.28028012267324,41.74732444589052,49.01761833311166,41.74846386295027,49.01654013292306,41.557166898728646,0.68492883,0.009935691,-32.492714,27.0,0.6164839593174325
HSC-G,15548,305,"3,5",155480305,48.89631087858891,41.095515097950525,49.02578616743169,40.99716627387781,49.026908872016506,41.19315975704575,48.76644760278123,41.19371855177137,48.76609795755687,40.997721235463246,0.6952083,0.045808244,67.256134,27.0,0.8947361292564289
HSC-G,15548,306,"3,6",155480306,48.89701399733805,41.282175400631616,49.026855258343794,41.18382684904028,49.027984346560935,41.379814080738825,48.76678253917453,41.380376535023586,48.76643090580952,41.18438546101666,0.68395364,0.022492236,48.90006,27.0,0.8230416144182473
HSC-G,15548,307,"3,7",155480307,48.89772111976908,41.46882777414244,49.02793042761079,41.37048156946866,49.02906595406013,41.566458390115265,48.76711938563749,41.56702451263335,48.76676574712613,41.371043840569,0.68148845,0.013174061,30.33931,27.0,0.7898881872373308
HSC-G,15548,308,"3,8",155480308,48.89842336560753,41.65313534103981,49.02901172721776,41.55712647362857,49.03012647648474,41.74842316867189,48.76744966562165,41.74899287601656,48.767102497698,41.55769241252989,0.6769502,0.0015440068,-60.48305,27.0,0.7996798897935112
HSC-G,15549,205,"2,5",155490205,51.08994075961144,41.09471954573981,51.2190399704787,40.996095988682285,51.22089879445855,41.19208207953407,50.96045216964183,41.193199671840304,50.959366275017125,40.99720591487272,0.71582,0.03413615,-52.607624,27.0,0.9520206490609971
HSC-G,15549,206,"2,6",155490206,51.09134700595012,41.28137462697861,51.220810028134416,41.182749523965505,51.22267942047382,41.37872934566951,50.961492382768014,41.379854256934195,50.96040031379281,41.18386675078114,0.70113516,0.02958994,-58.970524,27.0,0.8861330732554042
HSC-G,15549,207,"2,7",155490207,51.0927612592502,41.468021766614285,51.22259014875085,41.36939718767538,51.224470199832915,41.56536658076256,50.962538527785526,41.56649882833101,50.96144023164981,41.37052173257925,0.67761195,0.03338642,-75.17217,27.0,0.8566202985501921
HSC-G,15549,208,"2,8",155490208,51.09416575885637,41.65232415293681,51.22438041838264,41.55603501838563,51.22622606861921,41.74732444589053,50.963564279057636,41.74846386295027,50.96248607886904,41.557166898728646,0.69958586,0.03894712,-66.64455,27.0,0.8668188960057404
HSC-G,15549,304,"3,4",155490304,50.841557675560985,40.908850828085285,50.9706690494215,40.810503806259085,50.971785424358195,41.006499380520026,50.71206050620307,41.00705452441672,50.71171283230552,40.81105512624356,0.7290723,0.028468689,-54.473316,27.0,0.9014468970800242
HSC-G,15549,305,"3,5",155490305,50.84225682453489,41.095515097950525,50.97173211337766,40.997166273877816,50.97285481796248,41.19315975704575,50.712393548727206,41.19371855177137,50.71204390350285,40.997721235463246,0.7140786,0.014557288,-40.475746,27.0,0.7885522867811681
HSC-G,15549,306,"3,6",155490306,50.84295994328402,41.282175400631616,50.97280120428977,41.18382684904028,50.97393029250691,41.379814080738825,50.71272848512052,41.38037653502359,50.712376851755494,41.18438546101666,0.70479715,0.013229775,-49.89885,27.0,0.7076081062047866
HSC-G,15549,307,"3,7",155490307,50.84366706571506,41.46882777414245,50.97387637355676,41.37048156946866,50.9750119000061,41.566458390115265,50.713065331583465,41.56702451263336,50.7127116930721,41.371043840569,0.69983214,0.0148483375,-70.22106,27.0,0.6702879911657569
HSC-G,15549,308,"3,8",155490308,50.84436931155349,41.653135341039814,50.97495767316373,41.557126473628585,50.976072422430704,41.748423168671906,50.71339561156762,41.748992876016565,50.71304844364397,41.55769241252988,0.7033501,0.02262629,-63.773636,27.0,0.6832839257821339
HSC-G,15549,403,"4,3",155490403,50.59456380707373,40.72244823594191,50.72368040057723,40.62437805712517,50.72406252049347,40.820375285646655,50.46506500283148,40.82037521669897,50.46544730475102,40.62437798865435,0.7339429,0.065060176,-77.366104,27.0,0.9264077426158336
HSC-G,15549,404,"4,4",155490404,50.59456372015966,40.90911424241964,50.72404427301487,40.81104200095094,50.72442855344127,41.00704130808733,50.464698795542525,41.00704123868429,50.465083259001275,40.81104193202593,0.70845574,0.019337857,-53.041264,27.0,0.7731462664535624
HSC-G,15549,405,"4,5",155490405,50.59456363275349,41.09578024840203,50.72441020264544,40.99770802347418,50.72479666195722,41.193705248525845,50.46433051169686,41.193705178666384,50.46471715507881,40.99770795409393,0.71418977,0.018274082,-15.868354,27.0,0.6379386681620864
